[info] using task orders [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
[Warning]: datasets path /opt/LIBERO/libero/libero/../datasets does not exist!
[info] using task orders [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
/opt/conda/envs/roble/lib/python3.10/site-packages/wandb/sdk/lib/import_hooks.py:246: DeprecationWarning: Deprecated since Python 3.4 and slated for removal in Python 3.12; use importlib.util.find_spec() instead
  loader = importlib.find_loader(fullname, path)
[1024/200000] return=-275.348 policy_loss=-0.0344
[2048/200000] return=-258.780 policy_loss=-0.0201
[3072/200000] return=-269.809 policy_loss=-0.0253
[4096/200000] return=-274.452 policy_loss=-0.0477
[5120/200000] return=-285.841 policy_loss=-0.1085
[6016/200000] return=-282.308 policy_loss=-0.0980
[7040/200000] return=-269.425 policy_loss=-0.0879
[8064/200000] return=-260.366 policy_loss=-0.0705
[9088/200000] return=-236.569 policy_loss=-0.0562
[10112/200000] return=-219.532 policy_loss=0.0298
[11008/200000] return=-206.788 policy_loss=-0.0830
[12032/200000] return=-204.165 policy_loss=-0.0285
[13056/200000] return=-208.684 policy_loss=-0.0285
[14080/200000] return=-209.411 policy_loss=-0.0145
[15104/200000] return=-206.992 policy_loss=-0.0461
[16000/200000] return=-202.287 policy_loss=-0.0528
[17024/200000] return=-199.062 policy_loss=0.0272
[18048/200000] return=-197.295 policy_loss=0.0537
[19072/200000] return=-202.536 policy_loss=-0.0292
[20096/200000] return=-208.155 policy_loss=0.1047
[21120/200000] return=-218.380 policy_loss=-0.0055
[22016/200000] return=-222.240 policy_loss=0.1006
[23040/200000] return=-225.022 policy_loss=-0.0668
[24064/200000] return=-223.901 policy_loss=-0.0317
[25088/200000] return=-226.542 policy_loss=-0.1016
[26112/200000] return=-222.999 policy_loss=0.5324
[27008/200000] return=-224.525 policy_loss=0.1768
[28032/200000] return=-227.093 policy_loss=-0.0716
[29056/200000] return=-235.746 policy_loss=0.1901
[30080/200000] return=-246.181 policy_loss=-0.0203
[31104/200000] return=-252.824 policy_loss=0.0224
[32000/200000] return=-250.482 policy_loss=-0.1236
[33024/200000] return=-255.056 policy_loss=0.1379
[34048/200000] return=-254.574 policy_loss=0.3776
[35072/200000] return=-254.117 policy_loss=0.0446
[36096/200000] return=-254.076 policy_loss=0.2995
[37120/200000] return=-254.919 policy_loss=0.6614
[38016/200000] return=-258.975 policy_loss=-0.1163
[39040/200000] return=-260.380 policy_loss=0.0422
[40064/200000] return=-258.484 policy_loss=-0.1278
[41088/200000] return=-260.180 policy_loss=0.2844
[42112/200000] return=-260.751 policy_loss=-0.0839
[43008/200000] return=-266.676 policy_loss=-0.0526
[44032/200000] return=-293.754 policy_loss=0.9199
[45056/200000] return=-304.226 policy_loss=0.1206
[46080/200000] return=-323.510 policy_loss=0.0088
[47104/200000] return=-297.890 policy_loss=0.0771
[48000/200000] return=-324.072 policy_loss=0.1604
[49024/200000] return=-335.920 policy_loss=-0.0033
[50048/200000] return=-350.855 policy_loss=0.3648
[51072/200000] return=-307.979 policy_loss=-0.0597
[52096/200000] return=-268.442 policy_loss=0.4217
[53120/200000] return=-283.677 policy_loss=0.2117
[54016/200000] return=-308.937 policy_loss=0.9746
[55040/200000] return=-311.655 policy_loss=0.7944
[56064/200000] return=-341.986 policy_loss=-0.0839
[57088/200000] return=-281.869 policy_loss=2.2281
[58112/200000] return=-283.725 policy_loss=2.7901
[59008/200000] return=-243.919 policy_loss=0.1513
[60032/200000] return=-242.761 policy_loss=0.0410
[61056/200000] return=-226.937 policy_loss=0.0787
[62080/200000] return=-214.465 policy_loss=2.8147
[63104/200000] return=-210.122 policy_loss=1.0393
[64000/200000] return=-220.412 policy_loss=1.3847
[65024/200000] return=-228.916 policy_loss=0.3989
[66048/200000] return=-268.463 policy_loss=0.2006
[67072/200000] return=-268.074 policy_loss=-0.0180
[68096/200000] return=-272.931 policy_loss=1.1004
[69120/200000] return=-249.000 policy_loss=1.6014
[70016/200000] return=-239.310 policy_loss=1.3058
[71040/200000] return=-260.898 policy_loss=0.2482
[72064/200000] return=-250.247 policy_loss=0.0362
[73088/200000] return=-248.984 policy_loss=0.4296
[74112/200000] return=-220.861 policy_loss=-0.0764
[75008/200000] return=-228.701 policy_loss=0.0637
[76032/200000] return=-280.912 policy_loss=0.1985
[77056/200000] return=-285.182 policy_loss=0.1621
[78080/200000] return=-272.509 policy_loss=0.4028
[79104/200000] return=-221.504 policy_loss=0.1835
[80000/200000] return=-222.269 policy_loss=0.0901
[81024/200000] return=-209.769 policy_loss=0.3957
[82048/200000] return=-208.950 policy_loss=0.9781
[83072/200000] return=-204.209 policy_loss=0.5508
[84096/200000] return=-212.740 policy_loss=0.1085
[85120/200000] return=-219.424 policy_loss=0.4201
[86016/200000] return=-226.598 policy_loss=0.1185
[87040/200000] return=-247.192 policy_loss=0.0195
[88064/200000] return=-249.165 policy_loss=0.4137
[89088/200000] return=-234.533 policy_loss=0.5048
[90112/200000] return=-219.524 policy_loss=0.0352
[91008/200000] return=-223.078 policy_loss=0.1800
[92032/200000] return=-235.712 policy_loss=2.8153
[93056/200000] return=-228.647 policy_loss=0.8279
[94080/200000] return=-224.533 policy_loss=0.2561
[95104/200000] return=-217.407 policy_loss=0.3662
[96000/200000] return=-214.685 policy_loss=0.0260
[97024/200000] return=-212.751 policy_loss=0.2742
[98048/200000] return=-217.096 policy_loss=0.5418
[99072/200000] return=-224.175 policy_loss=-0.0281
[100096/200000] return=-216.054 policy_loss=1.1973
[101120/200000] return=-214.594 policy_loss=0.0811
[102016/200000] return=-211.032 policy_loss=0.1031
[103040/200000] return=-213.834 policy_loss=-0.0893
[104064/200000] return=-235.073 policy_loss=0.6823
[105088/200000] return=-236.321 policy_loss=0.2963
[106112/200000] return=-240.380 policy_loss=1.3895
[107008/200000] return=-228.006 policy_loss=0.0365
[108032/200000] return=-220.146 policy_loss=-0.1181
[109056/200000] return=-225.036 policy_loss=0.6545
[110080/200000] return=-252.213 policy_loss=0.5463
[111104/200000] return=-262.241 policy_loss=0.3691
[112000/200000] return=-260.059 policy_loss=1.2684
[113024/200000] return=-242.458 policy_loss=0.6982
[114048/200000] return=-245.640 policy_loss=-0.1315
[115072/200000] return=-241.446 policy_loss=0.0003
[116096/200000] return=-228.170 policy_loss=0.2559
[117120/200000] return=-227.908 policy_loss=-0.0128
[118016/200000] return=-228.139 policy_loss=0.0360
[119040/200000] return=-236.558 policy_loss=0.0968
[120064/200000] return=-241.656 policy_loss=2.7730
[121088/200000] return=-251.255 policy_loss=0.0400
[122112/200000] return=-275.662 policy_loss=0.8000
[123008/200000] return=-273.353 policy_loss=0.1567
[124032/200000] return=-273.239 policy_loss=-0.1211
[125056/200000] return=-251.683 policy_loss=0.4398
[126080/200000] return=-252.499 policy_loss=0.0322
[127104/200000] return=-254.428 policy_loss=0.5305
[128000/200000] return=-250.660 policy_loss=0.1285
[129024/200000] return=-263.013 policy_loss=0.3922
[130048/200000] return=-266.856 policy_loss=0.0765
[131072/200000] return=-270.412 policy_loss=2.1675
[132096/200000] return=-255.540 policy_loss=0.1228
[133120/200000] return=-250.134 policy_loss=0.2674
[134016/200000] return=-254.134 policy_loss=0.3266
[135040/200000] return=-257.627 policy_loss=-0.0802
[136064/200000] return=-259.706 policy_loss=0.3305
[137088/200000] return=-262.167 policy_loss=0.3198
[138112/200000] return=-265.239 policy_loss=-0.1161
[139008/200000] return=-259.237 policy_loss=-0.0390
[140032/200000] return=-261.606 policy_loss=0.0221
[141056/200000] return=-257.042 policy_loss=0.0941
[142080/200000] return=-329.746 policy_loss=0.1329
[143104/200000] return=-340.454 policy_loss=0.1547
[144000/200000] return=-343.282 policy_loss=0.2555
[145024/200000] return=-280.299 policy_loss=0.0599
[146048/200000] return=-304.217 policy_loss=-0.0417
[147072/200000] return=-304.961 policy_loss=0.1060
[148096/200000] return=-304.867 policy_loss=0.2491
[149120/200000] return=-272.338 policy_loss=0.0321
[150016/200000] return=-269.717 policy_loss=0.0581
[151040/200000] return=-267.508 policy_loss=0.5877
[152064/200000] return=-258.613 policy_loss=0.5766
[153088/200000] return=-267.680 policy_loss=0.4265
[154112/200000] return=-274.344 policy_loss=0.1228
[155008/200000] return=-288.689 policy_loss=0.6259
