[info] using task orders [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
[Warning]: datasets path /opt/LIBERO/libero/libero/../datasets does not exist!
[info] using task orders [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
/opt/conda/envs/roble/lib/python3.10/site-packages/wandb/sdk/lib/import_hooks.py:246: DeprecationWarning: Deprecated since Python 3.4 and slated for removal in Python 3.12; use importlib.util.find_spec() instead
  loader = importlib.find_loader(fullname, path)
[1024/200000] return=-234.548 policy_loss=-0.0102
[2048/200000] return=-237.523 policy_loss=-0.0052
[3072/200000] return=-234.820 policy_loss=-0.0271
[4096/200000] return=-251.616 policy_loss=-0.0404
[5120/200000] return=-264.433 policy_loss=-0.0674
[6144/200000] return=-272.535 policy_loss=-0.1244
[7168/200000] return=-268.331 policy_loss=-0.0431
[8192/200000] return=-247.908 policy_loss=-0.0219
[9216/200000] return=-234.283 policy_loss=-0.0605
[10240/200000] return=-228.132 policy_loss=-0.0926
[11008/200000] return=-227.761 policy_loss=-0.0676
[12032/200000] return=-224.393 policy_loss=-0.0348
[13056/200000] return=-228.703 policy_loss=-0.0575
[14080/200000] return=-233.272 policy_loss=-0.0601
[15104/200000] return=-274.725 policy_loss=-0.0631
[16128/200000] return=-274.934 policy_loss=-0.0658
[17152/200000] return=-295.389 policy_loss=-0.1066
[18176/200000] return=-273.047 policy_loss=-0.0787
[19200/200000] return=-287.410 policy_loss=-0.1239
[20224/200000] return=-278.640 policy_loss=-0.0830
[21248/200000] return=-290.677 policy_loss=-0.0835
[22016/200000] return=-292.215 policy_loss=0.0034
[23040/200000] return=-275.197 policy_loss=-0.0938
[24064/200000] return=-288.345 policy_loss=0.1066
[25088/200000] return=-284.546 policy_loss=-0.0521
[26112/200000] return=-308.118 policy_loss=0.1756
[27136/200000] return=-312.785 policy_loss=0.1875
[28160/200000] return=-315.532 policy_loss=-0.0964
[29184/200000] return=-318.553 policy_loss=0.0372
[30208/200000] return=-302.813 policy_loss=-0.0242
[31232/200000] return=-297.404 policy_loss=0.1348
[32000/200000] return=-299.133 policy_loss=0.0870
[33024/200000] return=-294.071 policy_loss=0.7314
[34048/200000] return=-283.427 policy_loss=0.5906
[35072/200000] return=-282.808 policy_loss=0.0530
[36096/200000] return=-285.433 policy_loss=0.1023
[37120/200000] return=-309.358 policy_loss=-0.0101
[38144/200000] return=-304.263 policy_loss=-0.0996
[39168/200000] return=-313.871 policy_loss=0.0805
[40192/200000] return=-303.580 policy_loss=0.2541
[41216/200000] return=-308.107 policy_loss=0.2688
[42240/200000] return=-302.234 policy_loss=-0.0766
[43008/200000] return=-294.464 policy_loss=0.1104
[44032/200000] return=-289.430 policy_loss=0.0515
[45056/200000] return=-300.257 policy_loss=0.0574
[46080/200000] return=-299.782 policy_loss=0.0574
[47104/200000] return=-327.714 policy_loss=-0.0412
[48128/200000] return=-309.003 policy_loss=-0.0616
[49152/200000] return=-298.886 policy_loss=0.0329
[50176/200000] return=-287.411 policy_loss=-0.0441
[51200/200000] return=-299.501 policy_loss=0.1779
[52224/200000] return=-284.510 policy_loss=-0.0721
[53248/200000] return=-278.101 policy_loss=0.3659
[54016/200000] return=-273.769 policy_loss=0.4866
[55040/200000] return=-285.292 policy_loss=2.3687
[56064/200000] return=-283.618 policy_loss=0.3492
[57088/200000] return=-284.502 policy_loss=-0.0370
[58112/200000] return=-281.196 policy_loss=0.4057
[59136/200000] return=-305.608 policy_loss=-0.0652
[60160/200000] return=-291.557 policy_loss=1.3451
[61184/200000] return=-290.747 policy_loss=0.7542
[62208/200000] return=-287.289 policy_loss=0.2531
[63232/200000] return=-292.259 policy_loss=0.1288
[64000/200000] return=-286.879 policy_loss=0.0606
[65024/200000] return=-271.488 policy_loss=-0.0999
[66048/200000] return=-270.419 policy_loss=0.0104
[67072/200000] return=-269.180 policy_loss=0.3273
[68096/200000] return=-291.258 policy_loss=-0.0685
