[info] using task orders [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
[Warning]: datasets path /opt/LIBERO/libero/libero/../datasets does not exist!
[info] using task orders [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
/opt/conda/envs/roble/lib/python3.10/site-packages/wandb/sdk/lib/import_hooks.py:246: DeprecationWarning: Deprecated since Python 3.4 and slated for removal in Python 3.12; use importlib.util.find_spec() instead
  loader = importlib.find_loader(fullname, path)
[1024/200000] return=-233.126 policy_loss=-0.0015
[2048/200000] return=-225.847 policy_loss=-0.0043
[3072/200000] return=-222.386 policy_loss=-0.0008
[4096/200000] return=-214.434 policy_loss=-0.0026
[5120/200000] return=-210.390 policy_loss=-0.0039
[6144/200000] return=-202.210 policy_loss=-0.0030
[7168/200000] return=-203.480 policy_loss=-0.0018
[8192/200000] return=-202.601 policy_loss=-0.0019
[9216/200000] return=-206.916 policy_loss=-0.0160
[10240/200000] return=-207.821 policy_loss=-0.0131
[11008/200000] return=-208.687 policy_loss=-0.0073
[12032/200000] return=-216.710 policy_loss=-0.0134
[13056/200000] return=-220.068 policy_loss=-0.0139
[14080/200000] return=-222.320 policy_loss=-0.0096
[15104/200000] return=-217.214 policy_loss=0.0016
[16128/200000] return=-210.874 policy_loss=-0.0222
[17152/200000] return=-244.165 policy_loss=-0.0394
[18176/200000] return=-249.450 policy_loss=-0.0314
[19200/200000] return=-236.754 policy_loss=-0.0308
[20224/200000] return=-195.135 policy_loss=-0.0751
[21248/200000] return=-179.145 policy_loss=-0.0411
[22016/200000] return=-209.380 policy_loss=-0.0726
[23040/200000] return=-207.466 policy_loss=-0.0018
[24064/200000] return=-213.620 policy_loss=-0.0179
[25088/200000] return=-207.740 policy_loss=-0.0003
[26112/200000] return=-216.411 policy_loss=-0.0304
[27136/200000] return=-225.977 policy_loss=-0.0055
[28160/200000] return=-226.771 policy_loss=-0.0291
[29184/200000] return=-219.887 policy_loss=-0.0376
[30208/200000] return=-218.880 policy_loss=-0.0098
[31232/200000] return=-249.248 policy_loss=-0.0417
[32000/200000] return=-264.363 policy_loss=-0.0174
[33024/200000] return=-274.471 policy_loss=-0.0127
[34048/200000] return=-260.639 policy_loss=-0.0019
[35072/200000] return=-272.453 policy_loss=-0.0239
[36096/200000] return=-274.907 policy_loss=-0.0309
[37120/200000] return=-261.201 policy_loss=-0.0738
[38144/200000] return=-242.667 policy_loss=-0.0544
[39168/200000] return=-251.923 policy_loss=-0.0106
[40192/200000] return=-250.483 policy_loss=-0.0305
[41216/200000] return=-260.091 policy_loss=-0.0655
[42240/200000] return=-259.702 policy_loss=-0.0427
[43008/200000] return=-255.039 policy_loss=-0.0261
[44032/200000] return=-254.150 policy_loss=-0.0808
[45056/200000] return=-240.036 policy_loss=-0.0489
[46080/200000] return=-248.140 policy_loss=-0.0321
[47104/200000] return=-252.083 policy_loss=-0.0733
[48128/200000] return=-260.068 policy_loss=-0.0316
[49152/200000] return=-255.894 policy_loss=-0.0542
[50176/200000] return=-247.729 policy_loss=-0.0180
[51200/200000] return=-254.547 policy_loss=-0.0329
[52224/200000] return=-256.579 policy_loss=-0.0557
[53248/200000] return=-267.550 policy_loss=-0.0765
[54016/200000] return=-264.296 policy_loss=-0.0495
[55040/200000] return=-266.893 policy_loss=-0.0147
[56064/200000] return=-268.263 policy_loss=-0.0707
[57088/200000] return=-252.072 policy_loss=-0.0812
[58112/200000] return=-240.060 policy_loss=-0.0684
[59136/200000] return=-226.915 policy_loss=-0.0231
[60160/200000] return=-223.271 policy_loss=-0.0401
[61184/200000] return=-239.279 policy_loss=-0.0332
[62208/200000] return=-247.117 policy_loss=-0.0386
[63232/200000] return=-242.536 policy_loss=-0.0726
[64000/200000] return=-233.152 policy_loss=-0.0374
[65024/200000] return=-222.383 policy_loss=-0.0541
[66048/200000] return=-232.293 policy_loss=-0.1016
[67072/200000] return=-228.576 policy_loss=-0.0292
[68096/200000] return=-229.520 policy_loss=-0.0540
[69120/200000] return=-218.310 policy_loss=-0.0347
[70144/200000] return=-217.966 policy_loss=-0.0740
[71168/200000] return=-215.257 policy_loss=-0.0728
[72192/200000] return=-217.326 policy_loss=-0.0715
[73216/200000] return=-212.802 policy_loss=-0.0413
[74240/200000] return=-215.632 policy_loss=-0.0337
[75008/200000] return=-216.184 policy_loss=-0.0582
[76032/200000] return=-228.948 policy_loss=-0.0635
[77056/200000] return=-229.947 policy_loss=-0.0326
[78080/200000] return=-243.974 policy_loss=-0.0755
[79104/200000] return=-240.437 policy_loss=-0.0629
[80128/200000] return=-244.410 policy_loss=-0.0603
[81152/200000] return=-234.613 policy_loss=-0.0746
[82176/200000] return=-229.624 policy_loss=-0.0643
[83200/200000] return=-216.026 policy_loss=-0.0761
[84224/200000] return=-216.711 policy_loss=-0.1025
[85248/200000] return=-228.636 policy_loss=-0.0379
[86016/200000] return=-234.976 policy_loss=-0.0359
[87040/200000] return=-231.493 policy_loss=-0.0541
[88064/200000] return=-219.132 policy_loss=-0.0707
[89088/200000] return=-213.710 policy_loss=-0.0299
[90112/200000] return=-213.628 policy_loss=-0.0775
[91136/200000] return=-208.743 policy_loss=-0.0737
