[info] using task orders [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
[Warning]: datasets path /opt/LIBERO/libero/libero/../datasets does not exist!
[info] using task orders [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
/opt/conda/envs/roble/lib/python3.10/site-packages/wandb/sdk/lib/import_hooks.py:246: DeprecationWarning: Deprecated since Python 3.4 and slated for removal in Python 3.12; use importlib.util.find_spec() instead
  loader = importlib.find_loader(fullname, path)
[1024/200000] return=-143.548 policy_loss=-0.0011
[2048/200000] return=-130.875 policy_loss=-0.0022
[3072/200000] return=-119.344 policy_loss=-0.0053
[4096/200000] return=-103.410 policy_loss=-0.0056
[5120/200000] return=-93.781 policy_loss=-0.0044
[6144/200000] return=-89.029 policy_loss=-0.0032
[7168/200000] return=-87.108 policy_loss=-0.0015
[8192/200000] return=-85.072 policy_loss=-0.0034
[9216/200000] return=-80.725 policy_loss=-0.0044
[10240/200000] return=-81.396 policy_loss=-0.0069
[11008/200000] return=-111.740 policy_loss=-0.0287
[12032/200000] return=-121.749 policy_loss=-0.0114
[13056/200000] return=-126.000 policy_loss=-0.0252
[14080/200000] return=-104.978 policy_loss=-0.0248
[15104/200000] return=-164.792 policy_loss=-0.0320
[16128/200000] return=-166.688 policy_loss=-0.0167
[17152/200000] return=-171.403 policy_loss=-0.0144
[18176/200000] return=-134.170 policy_loss=-0.0205
[19200/200000] return=-150.263 policy_loss=-0.0182
[20224/200000] return=-150.657 policy_loss=-0.0572
[21248/200000] return=-178.143 policy_loss=-0.0341
[22016/200000] return=-206.581 policy_loss=-0.0261
[23040/200000] return=-222.114 policy_loss=-0.0222
[24064/200000] return=-243.382 policy_loss=0.0060
[25088/200000] return=-249.816 policy_loss=-0.0342
[26112/200000] return=-272.716 policy_loss=-0.0268
[27136/200000] return=-275.638 policy_loss=-0.0252
[28160/200000] return=-283.139 policy_loss=-0.0405
[29184/200000] return=-260.609 policy_loss=-0.0332
[30208/200000] return=-264.157 policy_loss=-0.0324
[31232/200000] return=-256.545 policy_loss=-0.0199
[32000/200000] return=-264.969 policy_loss=-0.1031
[33024/200000] return=-282.702 policy_loss=-0.0455
[34048/200000] return=-266.121 policy_loss=-0.1070
[35072/200000] return=-273.631 policy_loss=-0.0170
