[info] using task orders [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
[Warning]: datasets path /opt/LIBERO/libero/libero/../datasets does not exist!
[info] using task orders [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
/opt/conda/envs/roble/lib/python3.10/site-packages/wandb/sdk/lib/import_hooks.py:246: DeprecationWarning: Deprecated since Python 3.4 and slated for removal in Python 3.12; use importlib.util.find_spec() instead
  loader = importlib.find_loader(fullname, path)
[1024/200000] return=-35.496 policy_loss=-0.0363
[2048/200000] return=-41.287 policy_loss=-0.0514
[3072/200000] return=-39.824 policy_loss=-0.0275
[4096/200000] return=-42.258 policy_loss=-0.0778
[5120/200000] return=-38.406 policy_loss=-0.1203
[6016/200000] return=-38.344 policy_loss=-0.0128
[7040/200000] return=-34.493 policy_loss=-0.0608
[8064/200000] return=-32.401 policy_loss=-0.0345
[9088/200000] return=-30.034 policy_loss=-0.0808
[10112/200000] return=-29.146 policy_loss=-0.0679
[11008/200000] return=-31.061 policy_loss=-0.0402
[12032/200000] return=-31.857 policy_loss=-0.0633
[13056/200000] return=-34.429 policy_loss=-0.1301
[14080/200000] return=-34.668 policy_loss=0.0562
[15104/200000] return=-39.082 policy_loss=-0.0599
[16000/200000] return=-40.994 policy_loss=-0.0511
[17024/200000] return=-42.739 policy_loss=-0.0381
[18048/200000] return=-43.293 policy_loss=-0.0372
[19072/200000] return=-43.212 policy_loss=-0.0742
[20096/200000] return=-43.735 policy_loss=-0.0028
[21120/200000] return=-42.662 policy_loss=-0.0697
[22016/200000] return=-42.465 policy_loss=-0.0516
[23040/200000] return=-40.938 policy_loss=-0.0435
[24064/200000] return=-41.362 policy_loss=0.0850
[25088/200000] return=-36.312 policy_loss=-0.0408
[26112/200000] return=-26.979 policy_loss=0.3070
[27008/200000] return=-26.559 policy_loss=0.2393
[28032/200000] return=-28.070 policy_loss=0.0358
[29056/200000] return=-29.233 policy_loss=1.5852
[30080/200000] return=-29.609 policy_loss=-0.0372
[31104/200000] return=-29.067 policy_loss=0.0884
[32000/200000] return=-28.910 policy_loss=0.1756
[33024/200000] return=-28.902 policy_loss=0.2759
[34048/200000] return=-29.151 policy_loss=0.5835
[35072/200000] return=-29.362 policy_loss=0.5942
[36096/200000] return=-31.528 policy_loss=-0.0882
[37120/200000] return=-32.934 policy_loss=-0.0949
[38016/200000] return=-37.091 policy_loss=-0.1312
[39040/200000] return=-38.162 policy_loss=-0.0637
[40064/200000] return=-36.697 policy_loss=-0.1563
[41088/200000] return=-33.189 policy_loss=-0.0202
[42112/200000] return=-32.217 policy_loss=0.0542
[43008/200000] return=-34.585 policy_loss=0.1671
[44032/200000] return=-34.947 policy_loss=0.4617
[45056/200000] return=-36.540 policy_loss=0.0563
[46080/200000] return=-37.223 policy_loss=-0.0898
[47104/200000] return=-38.566 policy_loss=1.0987
[48000/200000] return=-37.310 policy_loss=2.7620
[49024/200000] return=-33.277 policy_loss=0.0642
[50048/200000] return=-31.491 policy_loss=0.7462
[51072/200000] return=-27.982 policy_loss=-0.0754
[52096/200000] return=-29.564 policy_loss=-0.0608
[53120/200000] return=-27.621 policy_loss=0.0659
[54016/200000] return=-26.165 policy_loss=-0.0470
[55040/200000] return=-25.298 policy_loss=0.0169
[56064/200000] return=-25.612 policy_loss=0.2836
[57088/200000] return=-32.255 policy_loss=-0.1051
[58112/200000] return=-34.414 policy_loss=-0.0574
[59008/200000] return=-38.348 policy_loss=-0.0856
[60032/200000] return=-37.541 policy_loss=-0.0795
[61056/200000] return=-36.652 policy_loss=0.0259
[62080/200000] return=-34.068 policy_loss=0.1565
[63104/200000] return=-32.255 policy_loss=1.1263
[64000/200000] return=-31.756 policy_loss=-0.0821
[65024/200000] return=-31.562 policy_loss=0.0234
[66048/200000] return=-31.439 policy_loss=-0.0770
[67072/200000] return=-31.420 policy_loss=0.0161
[68096/200000] return=-30.078 policy_loss=-0.0079
[69120/200000] return=-30.405 policy_loss=-0.0782
[70016/200000] return=-29.618 policy_loss=0.0410
[71040/200000] return=-31.255 policy_loss=0.2723
[72064/200000] return=-30.506 policy_loss=0.0437
[73088/200000] return=-29.522 policy_loss=0.0878
[74112/200000] return=-27.498 policy_loss=0.1473
[75008/200000] return=-26.272 policy_loss=0.2263
[76032/200000] return=-27.120 policy_loss=0.2036
[77056/200000] return=-27.909 policy_loss=0.3980
[78080/200000] return=-27.247 policy_loss=0.3568
[79104/200000] return=-26.869 policy_loss=0.1936
[80000/200000] return=-26.160 policy_loss=-0.0208
[81024/200000] return=-28.603 policy_loss=0.0698
[82048/200000] return=-29.271 policy_loss=-0.0710
[83072/200000] return=-29.066 policy_loss=0.0368
[84096/200000] return=-27.294 policy_loss=-0.0004
[85120/200000] return=-27.568 policy_loss=0.5197
[86016/200000] return=-28.059 policy_loss=0.8822
[87040/200000] return=-27.806 policy_loss=0.8136
[88064/200000] return=-27.528 policy_loss=0.2891
[89088/200000] return=-27.005 policy_loss=0.2065
[90112/200000] return=-27.909 policy_loss=0.2336
[91008/200000] return=-27.951 policy_loss=0.0253
[92032/200000] return=-28.584 policy_loss=0.0845
[93056/200000] return=-27.129 policy_loss=0.0147
[94080/200000] return=-27.988 policy_loss=0.3139
[95104/200000] return=-30.476 policy_loss=1.8010
[96000/200000] return=-32.101 policy_loss=0.2105
[97024/200000] return=-30.585 policy_loss=1.0372
[98048/200000] return=-28.864 policy_loss=-0.1422
[99072/200000] return=-27.461 policy_loss=0.1025
[100096/200000] return=-27.764 policy_loss=0.2981
[101120/200000] return=-29.758 policy_loss=0.2181
[102016/200000] return=-30.401 policy_loss=1.2424
[103040/200000] return=-33.267 policy_loss=0.4993
[104064/200000] return=-35.155 policy_loss=2.2688
[105088/200000] return=-34.941 policy_loss=1.4898
[106112/200000] return=-33.173 policy_loss=2.0222
[107008/200000] return=-32.714 policy_loss=1.3712
[108032/200000] return=-32.287 policy_loss=0.4777
[109056/200000] return=-31.599 policy_loss=0.3909
[110080/200000] return=-32.600 policy_loss=0.2595
[111104/200000] return=-31.888 policy_loss=1.2023
[112000/200000] return=-31.314 policy_loss=0.3513
[113024/200000] return=-30.463 policy_loss=0.8076
[114048/200000] return=-34.920 policy_loss=-0.1070
[115072/200000] return=-35.976 policy_loss=0.2788
[116096/200000] return=-37.600 policy_loss=0.8381
[117120/200000] return=-33.208 policy_loss=0.3558
[118016/200000] return=-34.153 policy_loss=0.7854
[119040/200000] return=-34.647 policy_loss=3.2149
[120064/200000] return=-34.935 policy_loss=0.4771
[121088/200000] return=-34.401 policy_loss=0.2749
[122112/200000] return=-28.741 policy_loss=3.1656
[123008/200000] return=-28.989 policy_loss=3.4398
[124032/200000] return=-27.231 policy_loss=0.0955
[125056/200000] return=-27.082 policy_loss=0.2513
[126080/200000] return=-27.022 policy_loss=0.3959
[127104/200000] return=-27.900 policy_loss=0.2647
[128000/200000] return=-29.408 policy_loss=0.4565
[129024/200000] return=-28.676 policy_loss=1.6521
[130048/200000] return=-30.440 policy_loss=0.7686
[131072/200000] return=-31.664 policy_loss=1.9243
[132096/200000] return=-33.970 policy_loss=0.8151
[133120/200000] return=-33.041 policy_loss=0.0429
[134016/200000] return=-31.397 policy_loss=0.8282
[135040/200000] return=-30.674 policy_loss=0.0718
[136064/200000] return=-30.182 policy_loss=0.1984
[137088/200000] return=-29.926 policy_loss=0.7380
[138112/200000] return=-29.033 policy_loss=0.6672
[139008/200000] return=-29.069 policy_loss=0.3041
[140032/200000] return=-28.350 policy_loss=0.1691
[141056/200000] return=-29.426 policy_loss=0.0130
[142080/200000] return=-28.841 policy_loss=-0.0760
[143104/200000] return=-29.521 policy_loss=2.7997
[144000/200000] return=-29.070 policy_loss=0.3511
[145024/200000] return=-28.719 policy_loss=2.0139
[146048/200000] return=-27.558 policy_loss=1.3822
[147072/200000] return=-26.335 policy_loss=0.3569
[148096/200000] return=-26.549 policy_loss=0.2767
[149120/200000] return=-28.365 policy_loss=0.2388
[150016/200000] return=-29.557 policy_loss=0.3301
[151040/200000] return=-29.542 policy_loss=0.8327
[152064/200000] return=-28.947 policy_loss=0.4934
[153088/200000] return=-29.366 policy_loss=0.4131
[154112/200000] return=-29.779 policy_loss=0.3425
[155008/200000] return=-30.244 policy_loss=0.7313
[156032/200000] return=-29.305 policy_loss=-0.0811
[157056/200000] return=-28.662 policy_loss=0.0987
[158080/200000] return=-26.775 policy_loss=1.0788
[159104/200000] return=-26.827 policy_loss=0.1248
[160000/200000] return=-27.841 policy_loss=2.0731
[161024/200000] return=-29.417 policy_loss=0.3496
[162048/200000] return=-30.294 policy_loss=1.1765
[163072/200000] return=-30.874 policy_loss=3.4246
[164096/200000] return=-32.051 policy_loss=2.5267
[165120/200000] return=-30.753 policy_loss=3.1854
[166016/200000] return=-29.882 policy_loss=0.1008
[167040/200000] return=-28.924 policy_loss=0.2621
[168064/200000] return=-29.859 policy_loss=-0.1246
[169088/200000] return=-31.354 policy_loss=0.8483
[170112/200000] return=-33.161 policy_loss=0.0120
[171008/200000] return=-33.401 policy_loss=-0.1040
[172032/200000] return=-32.883 policy_loss=-0.0069
[173056/200000] return=-32.560 policy_loss=-0.1420
[174080/200000] return=-31.980 policy_loss=-0.1238
[175104/200000] return=-32.294 policy_loss=0.0833
[176000/200000] return=-32.594 policy_loss=0.1561
[177024/200000] return=-32.625 policy_loss=0.1611
[178048/200000] return=-32.383 policy_loss=0.8294
[179072/200000] return=-32.978 policy_loss=1.6605
[180096/200000] return=-33.217 policy_loss=0.2137
[181120/200000] return=-32.005 policy_loss=0.0399
[182016/200000] return=-31.934 policy_loss=0.3762
[183040/200000] return=-32.941 policy_loss=0.6774
[184064/200000] return=-33.095 policy_loss=0.3352
[185088/200000] return=-31.230 policy_loss=0.1150
[186112/200000] return=-30.705 policy_loss=-0.0399
[187008/200000] return=-31.129 policy_loss=-0.0136
[188032/200000] return=-32.251 policy_loss=0.1548
[189056/200000] return=-32.499 policy_loss=0.3318
[190080/200000] return=-32.275 policy_loss=0.4501
[191104/200000] return=-30.905 policy_loss=2.5601
[192000/200000] return=-32.958 policy_loss=0.3789
[193024/200000] return=-35.285 policy_loss=0.0590
[194048/200000] return=-38.634 policy_loss=0.1759
[195072/200000] return=-39.236 policy_loss=0.0692
[196096/200000] return=-38.287 policy_loss=0.1762
[197120/200000] return=-35.705 policy_loss=-0.0303
[198016/200000] return=-34.622 policy_loss=0.1224
[199040/200000] return=-35.810 policy_loss=-0.0855
[200064/200000] return=-38.357 policy_loss=0.1618
