[info] using task orders [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
[Warning]: datasets path /opt/LIBERO/libero/libero/../datasets does not exist!
[info] using task orders [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
/opt/conda/envs/roble/lib/python3.10/site-packages/wandb/sdk/lib/import_hooks.py:246: DeprecationWarning: Deprecated since Python 3.4 and slated for removal in Python 3.12; use importlib.util.find_spec() instead
  loader = importlib.find_loader(fullname, path)
[1024/200000] return=-31.177 policy_loss=-0.0306
[2048/200000] return=-36.441 policy_loss=-0.0954
[3072/200000] return=-38.406 policy_loss=-0.0571
[4096/200000] return=-36.710 policy_loss=-0.0245
[5120/200000] return=-28.625 policy_loss=-0.0453
[6016/200000] return=-24.358 policy_loss=-0.0233
[7040/200000] return=-31.596 policy_loss=-0.1302
[8064/200000] return=-42.220 policy_loss=-0.0392
[9088/200000] return=-53.895 policy_loss=-0.0676
[10112/200000] return=-55.268 policy_loss=-0.0564
[11008/200000] return=-53.523 policy_loss=-0.0744
[12032/200000] return=-52.417 policy_loss=-0.0573
[13056/200000] return=-47.213 policy_loss=-0.1550
[14080/200000] return=-47.239 policy_loss=-0.0077
[15104/200000] return=-49.534 policy_loss=-0.1163
[16000/200000] return=-55.084 policy_loss=-0.1061
[17024/200000] return=-54.384 policy_loss=-0.0523
[18048/200000] return=-52.642 policy_loss=-0.1006
[19072/200000] return=-53.243 policy_loss=-0.0684
[20096/200000] return=-54.650 policy_loss=-0.0031
[21120/200000] return=-56.121 policy_loss=-0.0623
[22016/200000] return=-54.713 policy_loss=-0.0729
[23040/200000] return=-55.827 policy_loss=-0.0501
[24064/200000] return=-56.184 policy_loss=-0.1412
[25088/200000] return=-56.709 policy_loss=-0.0332
[26112/200000] return=-56.288 policy_loss=-0.0479
[27008/200000] return=-55.211 policy_loss=-0.0190
[28032/200000] return=-55.322 policy_loss=-0.0264
[29056/200000] return=-54.545 policy_loss=0.0283
[30080/200000] return=-54.056 policy_loss=-0.0691
[31104/200000] return=-54.075 policy_loss=-0.0846
[32000/200000] return=-53.756 policy_loss=-0.0784
[33024/200000] return=-53.604 policy_loss=-0.0497
[34048/200000] return=-53.899 policy_loss=-0.0192
[35072/200000] return=-54.608 policy_loss=0.0477
[36096/200000] return=-56.324 policy_loss=0.1290
[37120/200000] return=-55.914 policy_loss=-0.0747
[38016/200000] return=-54.750 policy_loss=0.1309
[39040/200000] return=-52.800 policy_loss=0.2413
[40064/200000] return=-53.326 policy_loss=0.0772
[41088/200000] return=-53.377 policy_loss=0.2085
[42112/200000] return=-53.752 policy_loss=-0.0270
[43008/200000] return=-52.119 policy_loss=0.0243
[44032/200000] return=-51.847 policy_loss=0.0146
[45056/200000] return=-52.510 policy_loss=-0.0897
[46080/200000] return=-52.965 policy_loss=-0.0519
[47104/200000] return=-52.948 policy_loss=-0.0873
[48000/200000] return=-53.137 policy_loss=-0.1442
[49024/200000] return=-53.384 policy_loss=-0.0369
[50048/200000] return=-54.381 policy_loss=0.4176
[51072/200000] return=-53.574 policy_loss=0.0393
[52096/200000] return=-53.138 policy_loss=-0.0350
[53120/200000] return=-53.151 policy_loss=-0.0321
[54016/200000] return=-53.453 policy_loss=-0.0739
[55040/200000] return=-54.193 policy_loss=0.1249
[56064/200000] return=-54.153 policy_loss=-0.1036
[57088/200000] return=-53.976 policy_loss=-0.0560
[58112/200000] return=-54.025 policy_loss=0.0553
[59008/200000] return=-54.356 policy_loss=0.2334
[60032/200000] return=-54.573 policy_loss=0.1192
[61056/200000] return=-54.866 policy_loss=0.3193
[62080/200000] return=-54.730 policy_loss=-0.0913
[63104/200000] return=-55.261 policy_loss=-0.0449
[64000/200000] return=-55.244 policy_loss=0.1788
[65024/200000] return=-55.457 policy_loss=0.3544
[66048/200000] return=-54.967 policy_loss=0.4522
[67072/200000] return=-54.791 policy_loss=0.5316
[68096/200000] return=-54.839 policy_loss=-0.0048
[69120/200000] return=-55.003 policy_loss=-0.0146
[70016/200000] return=-51.907 policy_loss=-0.1063
[71040/200000] return=-48.645 policy_loss=0.0356
[72064/200000] return=-48.577 policy_loss=-0.1544
[73088/200000] return=-50.790 policy_loss=0.8882
[74112/200000] return=-49.737 policy_loss=0.4971
[75008/200000] return=-49.248 policy_loss=0.0275
[76032/200000] return=-50.048 policy_loss=0.0146
[77056/200000] return=-50.724 policy_loss=0.0270
[78080/200000] return=-54.040 policy_loss=0.4608
[79104/200000] return=-50.577 policy_loss=0.1565
[80000/200000] return=-50.915 policy_loss=-0.0677
[81024/200000] return=-47.386 policy_loss=0.3093
[82048/200000] return=-51.023 policy_loss=-0.0578
[83072/200000] return=-51.122 policy_loss=-0.0695
[84096/200000] return=-54.173 policy_loss=2.0923
[85120/200000] return=-53.761 policy_loss=0.3669
[86016/200000] return=-52.727 policy_loss=0.1434
[87040/200000] return=-51.999 policy_loss=-0.1113
[88064/200000] return=-51.679 policy_loss=-0.0648
[89088/200000] return=-50.299 policy_loss=0.2587
[90112/200000] return=-49.094 policy_loss=0.0382
[91008/200000] return=-48.286 policy_loss=0.0059
[92032/200000] return=-50.185 policy_loss=0.0912
[93056/200000] return=-51.941 policy_loss=0.6740
[94080/200000] return=-52.737 policy_loss=0.2133
[95104/200000] return=-53.548 policy_loss=0.3612
[96000/200000] return=-53.835 policy_loss=0.7992
[97024/200000] return=-54.669 policy_loss=-0.0319
[98048/200000] return=-54.442 policy_loss=-0.1191
[99072/200000] return=-54.269 policy_loss=-0.0342
[100096/200000] return=-53.587 policy_loss=1.1317
[101120/200000] return=-53.847 policy_loss=0.1862
[102016/200000] return=-53.440 policy_loss=0.7199
[103040/200000] return=-53.409 policy_loss=0.0835
[104064/200000] return=-52.491 policy_loss=0.2168
[105088/200000] return=-50.688 policy_loss=-0.0348
[106112/200000] return=-50.715 policy_loss=0.5198
[107008/200000] return=-50.721 policy_loss=0.2195
[108032/200000] return=-52.742 policy_loss=0.0367
[109056/200000] return=-53.189 policy_loss=-0.1191
[110080/200000] return=-53.466 policy_loss=0.1508
[111104/200000] return=-52.108 policy_loss=0.0171
[112000/200000] return=-51.696 policy_loss=0.0257
[113024/200000] return=-51.568 policy_loss=0.1076
[114048/200000] return=-52.545 policy_loss=-0.0424
[115072/200000] return=-53.141 policy_loss=-0.0466
[116096/200000] return=-54.016 policy_loss=0.1525
[117120/200000] return=-53.249 policy_loss=0.2412
[118016/200000] return=-52.565 policy_loss=-0.0266
[119040/200000] return=-52.045 policy_loss=0.1240
[120064/200000] return=-52.568 policy_loss=-0.0888
[121088/200000] return=-51.829 policy_loss=0.1615
[122112/200000] return=-52.124 policy_loss=0.0805
[123008/200000] return=-52.707 policy_loss=-0.0221
[124032/200000] return=-53.679 policy_loss=0.3853
[125056/200000] return=-53.714 policy_loss=0.6737
[126080/200000] return=-51.506 policy_loss=-0.0615
[127104/200000] return=-48.901 policy_loss=0.0626
[128000/200000] return=-49.526 policy_loss=-0.0218
[129024/200000] return=-51.347 policy_loss=0.1814
[130048/200000] return=-54.271 policy_loss=1.0895
[131072/200000] return=-53.836 policy_loss=-0.0927
[132096/200000] return=-53.813 policy_loss=0.7552
[133120/200000] return=-53.648 policy_loss=-0.0213
[134016/200000] return=-53.223 policy_loss=1.2964
[135040/200000] return=-53.319 policy_loss=-0.0689
[136064/200000] return=-54.316 policy_loss=-0.0012
[137088/200000] return=-55.452 policy_loss=2.0062
[138112/200000] return=-56.883 policy_loss=-0.0006
[139008/200000] return=-55.813 policy_loss=0.1005
[140032/200000] return=-55.316 policy_loss=0.4021
[141056/200000] return=-52.068 policy_loss=-0.0998
[142080/200000] return=-48.027 policy_loss=-0.0804
[143104/200000] return=-49.154 policy_loss=-0.0565
[144000/200000] return=-49.040 policy_loss=-0.0373
[145024/200000] return=-52.454 policy_loss=-0.0035
[146048/200000] return=-52.457 policy_loss=2.4593
[147072/200000] return=-46.670 policy_loss=-0.0899
[148096/200000] return=-46.856 policy_loss=0.1400
[149120/200000] return=-47.018 policy_loss=0.6925
[150016/200000] return=-52.917 policy_loss=0.1691
[151040/200000] return=-52.824 policy_loss=0.0786
[152064/200000] return=-52.566 policy_loss=1.3911
[153088/200000] return=-45.475 policy_loss=0.9450
[154112/200000] return=-39.792 policy_loss=0.0532
[155008/200000] return=-41.206 policy_loss=0.1767
[156032/200000] return=-48.285 policy_loss=2.5419
[157056/200000] return=-53.778 policy_loss=0.1888
[158080/200000] return=-53.155 policy_loss=0.1697
[159104/200000] return=-53.920 policy_loss=-0.0564
[160000/200000] return=-53.445 policy_loss=-0.0761
[161024/200000] return=-52.664 policy_loss=2.9590
[162048/200000] return=-49.404 policy_loss=0.8644
[163072/200000] return=-45.121 policy_loss=-0.1048
[164096/200000] return=-38.821 policy_loss=0.1939
[165120/200000] return=-35.945 policy_loss=-0.1294
[166016/200000] return=-41.189 policy_loss=-0.0607
[167040/200000] return=-47.496 policy_loss=0.0277
[168064/200000] return=-53.416 policy_loss=0.7475
[169088/200000] return=-52.951 policy_loss=-0.0055
[170112/200000] return=-53.171 policy_loss=-0.1427
[171008/200000] return=-52.924 policy_loss=0.6490
[172032/200000] return=-53.007 policy_loss=0.1078
[173056/200000] return=-52.395 policy_loss=-0.0295
[174080/200000] return=-50.994 policy_loss=-0.0462
[175104/200000] return=-47.092 policy_loss=0.3571
[176000/200000] return=-40.283 policy_loss=0.3085
[177024/200000] return=-39.532 policy_loss=0.3763
[178048/200000] return=-43.771 policy_loss=-0.0540
[179072/200000] return=-50.097 policy_loss=0.1926
[180096/200000] return=-50.409 policy_loss=0.1168
[181120/200000] return=-50.676 policy_loss=0.9506
[182016/200000] return=-50.928 policy_loss=-0.1293
[183040/200000] return=-52.445 policy_loss=0.0178
[184064/200000] return=-47.981 policy_loss=-0.0569
[185088/200000] return=-41.233 policy_loss=0.0194
[186112/200000] return=-41.055 policy_loss=0.0906
[187008/200000] return=-44.097 policy_loss=0.0104
[188032/200000] return=-49.991 policy_loss=0.1561
[189056/200000] return=-48.629 policy_loss=0.0787
[190080/200000] return=-47.370 policy_loss=0.2023
[191104/200000] return=-45.659 policy_loss=0.0975
[192000/200000] return=-43.232 policy_loss=-0.1208
[193024/200000] return=-43.918 policy_loss=-0.0704
[194048/200000] return=-43.485 policy_loss=0.8491
[195072/200000] return=-48.449 policy_loss=0.0803
[196096/200000] return=-48.880 policy_loss=2.4678
[197120/200000] return=-51.795 policy_loss=-0.0812
[198016/200000] return=-52.056 policy_loss=0.1043
[199040/200000] return=-54.091 policy_loss=0.1668
[200064/200000] return=-54.851 policy_loss=0.1206
