[info] using task orders [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
[Warning]: datasets path /opt/LIBERO/libero/libero/../datasets does not exist!
[info] using task orders [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
/opt/conda/envs/roble/lib/python3.10/site-packages/wandb/sdk/lib/import_hooks.py:246: DeprecationWarning: Deprecated since Python 3.4 and slated for removal in Python 3.12; use importlib.util.find_spec() instead
  loader = importlib.find_loader(fullname, path)
[1024/200000] return=-28.846 policy_loss=-0.0252
[2048/200000] return=-30.404 policy_loss=-0.0426
[3072/200000] return=-33.392 policy_loss=-0.1449
[4096/200000] return=-37.922 policy_loss=-0.0650
[5120/200000] return=-40.576 policy_loss=-0.0638
[6016/200000] return=-40.933 policy_loss=-0.0322
[7040/200000] return=-38.964 policy_loss=-0.0509
[8064/200000] return=-38.300 policy_loss=-0.0310
[9088/200000] return=-40.050 policy_loss=-0.0658
[10112/200000] return=-41.571 policy_loss=-0.1165
[11008/200000] return=-42.145 policy_loss=0.0099
[12032/200000] return=-40.683 policy_loss=-0.0704
[13056/200000] return=-39.682 policy_loss=-0.1112
[14080/200000] return=-37.864 policy_loss=-0.0856
[15104/200000] return=-37.108 policy_loss=-0.0688
[16000/200000] return=-37.178 policy_loss=-0.0103
[17024/200000] return=-36.360 policy_loss=0.0493
[18048/200000] return=-34.508 policy_loss=0.1029
[19072/200000] return=-33.414 policy_loss=-0.0909
[20096/200000] return=-35.871 policy_loss=0.1274
[21120/200000] return=-39.290 policy_loss=-0.0145
[22016/200000] return=-41.513 policy_loss=0.7639
[23040/200000] return=-43.537 policy_loss=-0.0983
[24064/200000] return=-42.590 policy_loss=0.0096
[25088/200000] return=-40.283 policy_loss=-0.0346
[26112/200000] return=-41.199 policy_loss=0.1927
[27008/200000] return=-47.179 policy_loss=0.1143
[28032/200000] return=-47.941 policy_loss=0.0250
[29056/200000] return=-48.286 policy_loss=0.1134
[30080/200000] return=-47.419 policy_loss=-0.1105
[31104/200000] return=-52.105 policy_loss=0.0191
[32000/200000] return=-52.475 policy_loss=-0.0212
[33024/200000] return=-51.571 policy_loss=0.0092
[34048/200000] return=-50.885 policy_loss=0.1238
[35072/200000] return=-51.138 policy_loss=0.0166
[36096/200000] return=-51.237 policy_loss=0.1407
[37120/200000] return=-49.703 policy_loss=0.7787
[38016/200000] return=-48.478 policy_loss=0.0844
[39040/200000] return=-48.267 policy_loss=0.0813
[40064/200000] return=-50.080 policy_loss=0.0140
[41088/200000] return=-50.791 policy_loss=0.3224
